"name","model","url","price","type","ABS","Acceleration (0-100 kmph)","Air Conditioner","Audio Controls on Streeing Wheel","Audio System (with remote)","Bluetooth Connectivity","Body Coloured Bumpers","Boot Space (litres)","Brakes Front","Brakes Rear","CD Player","Central Locking","Clean Air Filter","Cruise Control","Door Ajar Warning","Driver Seatbelt Warning","Dual SRS Airbags (D+P)","EBD","Engine Size (cc)","Engine Type","Front Track","Front Tyres","Fuel Supply System","Fuel Tank Capacity (litres)","Fuel Type","Full Wheel Caps","Gross Weight (kg)","Ground Clearance (mm)","Heater","Immobiliser","Kerb Weight (kg)","Keyless Entry","Max Power (bhp @ rpm)","Max Torque (Nm @ rpm)","Mileage in City (kmpl)","Mileage on Highway (kmpl)","No. of Cylinders","Overall Length(mm) x Width(mm) x Height(mm)","Panoramic Sunroof","Passenger Airbags","Power Steering","Power Windows (Front)","Power Windows (Rear)","Rain Sensing Wipers","Rear Track","Rear Tyres","Seat Capacity","Speakers","Tilt Function","Top Speed (kmph)","Traction Control","Transmission Type","Tubeless Tyres","Turning Circle Radius (metres)","USB & Auxiliary Input","Wheelbase (mm)","brand"
"Ashok Leyland Stile","Ashok Leyland Stile LE 8-STR (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-le-8-str-diesel/",749990,"MPV"," No"," 18.7"," Manual"," No"," No"," No"," Yes"," 500"," Disc"," Drum"," No"," No"," Yes"," No"," No"," No"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," Yes"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7"," 4"," 4400 x 1700 x 1860"," No"," No"," Yes"," No"," No"," No",NA," 165 R14"," 8"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," No"," 2725","Ashok"
"Ashok Leyland Stile","Ashok Leyland Stile LS 8-STR (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-ls-8-str-diesel/",799990,"MPV"," No"," 18.7"," Manual"," No"," No"," No"," Yes"," 500"," Disc"," Drum"," No"," Yes"," No"," No"," No"," No"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," No"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7"," 4"," 4400 x 1700 x 1860"," No"," No"," Yes"," Yes"," No"," No",NA," 165 R14"," 8"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," No"," 2725","Ashok"
"Ashok Leyland Stile","Ashok Leyland Stile LX 8-STR (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-lx-8-str-diesel/",829990,"MPV"," No"," 18.7"," Manual"," No"," No"," No"," Yes"," 500"," Disc"," Drum"," No"," Yes"," Yes"," No"," No"," No"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," No"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7"," 4"," 4400 x 1700 x 1860"," No"," No"," Yes"," Yes"," No"," No",NA," 165 R14"," 8"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," No"," 2725","Ashok"
"Ashok Leyland Stile","Ashok Leyland Stile LS 7-STR (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-ls-7-str-diesel/",849990,"MPV"," No"," 18.7"," Manual"," No"," No"," No"," Yes"," 500"," Disc"," Drum"," No"," Yes"," Yes"," No"," No"," No"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," No"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7"," 4"," 4400 x 1700 x 1860"," No"," No"," Yes"," Yes"," No"," No",NA," 165 R14"," 7"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," No"," 2725","Ashok"
"Ashok Leyland Stile","Ashok Leyland Stile LS 7-STR Alloy (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-ls-7-str-alloy-diesel/",879990,"MPV"," No"," 18.7"," Manual"," No"," No"," Yes"," Yes"," 500"," Disc"," Drum"," Yes"," Yes"," Yes"," No"," No"," Yes"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," No"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7"," 4"," 4400 x 1700 x 1860"," No"," No"," Yes"," Yes"," No"," No",NA," 165 R14"," 7"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," Yes"," 2725","Ashok"
"Ashok Leyland Stile","Ashok Leyland Stile LX 7-STR (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-lx-7-str-diesel/",899990,"MPV"," No"," 18.7"," Manual"," No"," No"," No"," Yes"," 500"," Disc"," Drum"," No"," Yes"," Yes"," No"," No"," Yes"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," No"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7"," 4"," 4400 x 1700 x 1860"," No"," No"," Yes"," Yes"," No"," No",NA," 165 R14"," 7"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," No"," 2725","Ashok"
"Ashok Leyland Stile","Ashok Leyland Stile LX 7-STR Alloy (Diesel)","http://carzoom.in/car-specification/ashok-leyland-stile-lx-7-str-alloy-diesel/",929990,"MPV"," No"," 18.7"," Manual"," No"," No"," No"," Yes"," 500"," Disc"," Drum"," No"," Yes"," Yes"," No"," No"," Yes"," No"," No"," 1461"," Turbo-intercooled, Common Rail Diesel Engine",NA," 165 R14"," CRDi"," 50"," Diesel"," No"," 2000"," 180"," Yes"," Yes"," 1426"," No"," 75 @ 3300"," 185 @ 1750-2750"," 16.2"," 20.7",NA," 4400 x 1700 x 1860"," No"," No"," Yes"," Yes"," No"," No",NA," 165 R14"," 7"," No"," Yes"," 140"," No"," 5 Speed Manual"," Yes"," 5.2"," No"," 2725","Ashok"
"Aston Martin Rapide","Aston Martin Rapide LUXE (Petrol)","http://carzoom.in/car-specification/aston-martin-rapide-luxe-petrol/",3.5e+07,"Sedan"," Yes",NA," Automatic"," Yes"," Yes"," Yes"," Yes"," 300"," Disc"," Disc"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," 5935"," 6.0 V12 Petrol Engine",NA," 245 / 40 ZR20"," Direct Injection"," 90.5"," Petrol"," Yes",NA," 120"," Yes"," Yes"," 1950"," Yes"," 350 @ 6000"," 600 @ 5000",NA," 7"," 4"," 5019 x 1929 x 1360",NA," Yes"," Yes"," Yes"," Yes"," No",NA," 295 / 35 ZR20"," 4"," 6 plus"," Yes",NA," Yes"," 6 Speed Automatic"," Yes"," 6.2"," Yes"," 2989","Aston"
"Aston Martin Rapide S","Aston Martin Rapide S (Petrol)","http://carzoom.in/car-specification/aston-martin-rapide-s-petrol/",4.4e+07,"Sedan"," Yes"," 4.9"," Automatic"," Yes"," No"," Yes"," Yes",NA," Disc"," Disc"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," 5935"," 6.0l, 48V V Type Engine",NA," 245 / 40 R20"," Direct Injection"," 90"," Petrol"," No"," 1990"," 110"," Yes"," Yes",NA," Yes"," 550 @ 6750"," 620 @ 5500"," 5.6"," 11.9"," 12"," 5019 x 1929 x 1360"," No"," No"," Yes"," Yes"," Yes"," No",NA," 295 / 35 R20"," 4"," Yes"," Yes"," 306"," Yes"," 6 Speed Manual"," Yes"," 6.25"," Yes"," 2989","Aston"
"Aston Martin V12 Vantage","Aston Martin V12 Vantage Coupe (Petrol)","http://carzoom.in/car-specification/aston-martin-v12-vantage-coupe-petrol/",3.5e+07,"Coupe"," Yes"," 4.2"," Automatic"," Yes"," Yes"," Yes"," Yes"," 300"," Disc"," Disc"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," Yes"," 5935"," V12, 6.0 Petrol Engine",NA," 255 / 35 ZR19"," Direct Injection"," 80"," Petrol"," No",NA," 120"," Yes"," Yes"," 1680"," Yes"," 510 @ 6500"," 570 @ 5750"," 7"," 9"," 12"," 4385 x 1865 x 1241",NA," Yes"," Yes"," Yes"," No"," No",NA," 295 / 30 ZR19"," 2"," Yes"," Yes"," 305"," Yes"," 6 Speed Manual"," Yes"," 5.5"," Yes"," 2600","Aston"
