"name","model","price","type","engine","fuel","weight","clearance","bhp","rpm","mileage_city","mileage_highway","cylinders","seats","transmission_type","brand","gears","transmission","fuel_type"
"Ashok Leyland Stile","Ashok Leyland Stile LE 8-STR (Diesel)",749990,"MPV",1461," Diesel"," 2000",180," 75 "," 3300",16.2,20.7," 4"," 8"," 5 Speed Manual","Ashok",5,"Manual",1
"Aston Martin Rapide","Aston Martin Rapide LUXE (Petrol)",3.5e+07,"Sedan",5935," Petrol",NA,120," 350 "," 6000",11.83425,7," 4"," 4"," 6 Speed Automatic","Aston",6,"Automatic",0
"Aston Martin Rapide S","Aston Martin Rapide S (Petrol)",4.4e+07,"Sedan",5935," Petrol"," 1990",110," 550 "," 6750",5.6,11.9," 12"," 4"," 6 Speed Manual","Aston",6,"Manual",0
"Aston Martin V12 Vantage","Aston Martin V12 Vantage Coupe (Petrol)",3.5e+07,"Coupe",5935," Petrol",NA,120," 510 "," 6500",7,9," 12"," 2"," 6 Speed Manual","Aston",6,"Manual",0
"Aston Martin V8 Vantage","Aston Martin V8 Vantage Coupe (Petrol)",13500000,"Coupe",4735," Petrol",NA,120," 313 "," 7000",5,8," 8"," 2"," 6 Speed Manual","Aston",6,"Manual",0
"Aston Martin Vanquish","Aston Martin Vanquish V12 (Petrol)",38500000,"Sedan",5935," Petrol",NA,147," 564 "," 6750",4,8," 4"," 2"," 6 Speed Automatic","Aston",6,"Automatic",0
"Audi A3 Cabriolet","Audi A3 Attraction 35 TDI (Diesel)",2295000,"Sedan",1968," Diesel"," 1890",NA," 143 "," 3500-4000",18.08,20.38," 4"," 5"," 6 Speed Automatic","Audi",6,"Automatic",1
"Audi A4","Audi A4 2.0 TDI (Diesel)",2899000,"Sedan",1968," Diesel"," 2065",128," 241 "," 4000",11.83425,16.55," 4"," 5"," 7 Speed Automatic","Audi",7,"Automatic",1
"Audi A6","Audi A6 2.0 TDI (Diesel)",4356000,"Sedan",1968," Diesel"," 2165",165," 174 "," 3750",11.83425,17.68," 4"," 5"," 8 Speed Automatic","Audi",8,"Automatic",1
"Audi A7","Audi A7 Sportback 3.0 TDI (Diesel)",8588000,"Sedan",2967," Diesel"," 2395",160," 241.3 "," 4000",11.83425,14.4," 6"," 5"," 6 Speed Automatic","Audi",6,"Automatic",1
"Audi A8 L","Audi A8 L 3.0 TDI quattro (Diesel)",10700000,"Sedan",2967," Diesel"," 2540",165," 247 "," 4000",11.83425,15.5," 6"," 4"," 8 Speed Automatic","Audi",8,"Automatic",1
"Audi Q3","Audi Q3 30 TDI S Edition (Diesel)",2899000,"SUV",1968," Diesel"," 2030",170," 138.13 "," 4200",14.25,17.32," 4"," 5"," 6 Speed Manual","Audi",6,"Manual",1
"Audi Q5","Audi Q5 2.0 TFSI Quattro (Petrol)",4539000,"SUV",1984," Petrol"," 2365",200," 221.27 "," 4500-6200",11.83425,11.81," 4"," 5"," 8 Speed Automatic","Audi",8,"Automatic",0
"Audi Q7","Audi Q7 3.0 TFSI quattro (Petrol)",5577000,"SUV",2995," Petrol"," 2995",240," 329 "," 5500",11.83425,14," 6"," 6"," 8 Speed Automatic","Audi",8,"Automatic",0
"Audi R8","Audi R8 4.2 FSI quattro (Petrol)",15991000,"Sedan",4163," Petrol"," 1885",160," 423.8 "," 7900",11.83425,8.06," 8"," 2"," 7 Speed Automatic","Audi",7,"Automatic",0
"Audi RS5","Audi RS5 Coupe (Petrol)",10127000,"Coupe",4163," Petrol",NA,NA," 438 "," 8250",5.6,9," 8"," 5"," 7 Speed Automatic","Audi",7,"Automatic",0
"Audi RS6","Audi RS6 Avant",13500000,"Luxury",3993," Petrol"," 2580",114," 552.5 "," 5700-6600",6.4,10.41," 8"," 5"," 8 Speed Automatic","Audi",8,"Automatic",0
"Audi RS7","Audi RS7 Sportback (Petrol)",1.4e+07,"Sedan",3993," Petrol"," 2505",109," 560 "," 5700-6600",7.2,13.3," 8"," 4"," 8 Speed Automatic","Audi",8,"Automatic",0
"Audi S6","Audi S6 4.0 TFSI (Petrol)",8995000,"Sedan",3993," Petrol",NA,125," 420 "," 5500",7,10.3," 8"," 5"," 7 Speed Automatic","Audi",7,"Automatic",0
"Audi TT","Audi TT 45 TFSI (Petrol)",6034000,"Coupe",1984," Petrol"," 1735",135," 230 "," 4500-6200",5.7,8.3," 4"," 4"," 6 Speed Automatic","Audi",6,"Automatic",0
"Bentley Continental Flying Spur","Bentley Continental Flying Spur W12 (Petrol)",3.1e+07,"Sedan",5998," Petrol",NA,142," 552 "," 6100",2,4," 12"," 5"," 8 Speed Automatic","Bentley",8,"Automatic",0
"Bentley Continental GT","Bentley Continental GT (Petrol)",18700000,"Coupe",5998," Petrol",NA,142," 567 "," 6000",5.3,8.6," 12"," 5"," 8 Speed Automatic","Bentley",8,"Automatic",0
"Bentley Continental GTC","Bentley Continental GTC Convertible (Petrol)",2.1e+07,"Sedan",5998," Petrol",NA,142," 567 "," 6000",5.5,8.5," 12"," 5"," 8 Speed Automatic","Bentley",8,"Automatic",0
"Bentley Mulsanne","Bentley Mulsanne V8 (Petrol)",26900000,"Coupe",5998," Petrol",NA,142," 500 "," 6000",6.2,9.5," 8"," 5"," 8 Speed Automatic","Bentley",8,"Automatic",0
"BMW 1 Series","BMW 1 Series",2e+06,"Sedan",1995," Diesel",NA,157," 143 "," 5000",11.83425,20.58," 4",NA," 8 Speed Automatic","BMW",8,"Automatic",1
"BMW 3 Series","BMW 3 Series 320d (Diesel)",3340000,"Sedan",1995," Diesel",NA,140," 184 "," 4000",14.44,18.88," 4"," 5"," 8 Speed Automatic","BMW",8,"Automatic",1
"BMW 3 Series GT","BMW 3 Series GT 320d Sport Line(Diesel)",3990000,"Sedan",1995," Diesel",NA,165," 184 "," 4000",15.54,19.59," 4"," 5"," 8 Speed Automatic","BMW",8,"Automatic",1
"BMW 5 Series","BMW 5 Series 520 Luxury Line (Diesel)",4890000,"Sedan",1995," Diesel",NA,158," 184 "," 5000",8.4,11.5," 4"," 5"," 8 Speed Automatic","BMW",8,"Automatic",1
"BMW 5 Series GT","BMW 5 Series GT 530d LE (Diesel)",8870000,"Sedan",2993,NA,NA,131," 245 "," 4000",11.83425,15.3514948453608,NA,NA,NA,"BMW",4,"Manual",0
"BMW 6 Series","BMW 6 Series Gran Coupe 640d (Diesel)",11490000,"Coupe",2993," Diesel"," 2410",124," 313 "," 4400",14.54,17.54," 6"," 4"," 8 Speed Automatic","BMW",8,"Automatic",1
"BMW 7 Series","BMW 7 Series 730Ld (Diesel)",10290000,"Sedan",2993," Diesel",NA,142," 258 "," 4000",11.83425,12," 6"," 5"," 8 Speed Automatic","BMW",8,"Automatic",1
"BMW i8","BMW i8 (Petrol)",22900000,"Coupe",1499," Petrol"," 1490",117," 228 bhp "," 5800 RPM",28,29," 3"," 2"," 6 Speed Automatic","BMW",6,"Automatic",0
"BMW M3","BMW M3 Sedan (Petrol)",11980000,"Sedan",2979," Petrol"," 2100",NA," 431 "," 5500-7300",7.32,10.75," 6"," 5"," 7 Speed Automatic","BMW",7,"Automatic",0
